Facility ID,ED_2b,EDV,OP_18b,OP_18c,OP_2,OP_22,OP_23,OP_29,OP_31,OP_33,OP_3b,PC_01,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
100286,92,high,137,182,NA,0,53,100,NA,NA,NA,NA,70,97,88,88,81
100287,142,high,128,250,NA,0,NA,79,NA,NA,NA,0,45,78,NA,65,90
100288,109,very high,137,134,NA,1,NA,100,NA,NA,NA,0,46,81,NA,64,93
100289,205,high,187,NA,NA,0,NA,96,NA,NA,NA,NA,63,88,63,83,84
10029,50,NA,183,205,NA,NA,40,68,NA,20,NA,0,73,93,76,86,94
100290,230,medium,177,299,NA,2,79,100,NA,NA,NA,NA,51,87,94,72,78
100291,116,low,117,NA,NA,0,NA,96,NA,NA,NA,NA,68,88,71,83,95
100292,79,medium,187,NA,NA,1,69,45,NA,NA,NA,2,89,93,94,96,99
100296,128,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,88,90,89,95
100298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100299,62,medium,119,179,NA,0,92,100,NA,NA,NA,0,95,96,100,99,100
100302,81,medium,159,242,NA,1,25,89,NA,NA,79,NA,60,84,82,82,88
100307,94,medium,155,311,NA,1,NA,100,NA,NA,NA,0,79,96,76,87,98
100313,52,low,110,132,NA,1,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA
100314,131,very high,191,237,NA,1,92,100,NA,NA,33,0,67,90,67,81,97
100315,111,medium,180,NA,NA,1,NA,96,NA,NA,168,NA,66,86,NA,80,96
100316,108,high,144,190,NA,1,100,NA,NA,NA,114,NA,80,88,87,93,98
100319,48,NA,160,NA,NA,NA,NA,100,NA,NA,NA,0,91,99,92,93,100
100320,75,high,118,111,NA,0,69,83,NA,NA,58,NA,66,89,58,83,93
100321,112,high,143,265,NA,1,NA,100,NA,NA,75,0,76,97,NA,84,92
100329,66,medium,105,188,NA,0,NA,NA,NA,NA,44,0,51,81,45,80,86
10033,136,very high,209,304,NA,3,NA,90,NA,100,NA,3,63,83,74,83,93
100330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034,75,low,96,NA,NA,2,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035,64,NA,132,297,92,NA,88,NA,NA,NA,NA,0,91,98,95,96,97
10036,47,NA,115,202,NA,NA,NA,NA,NA,NA,NA,0,56,82,NA,79,97
10038,57,medium,124,NA,NA,3,NA,91,NA,NA,NA,NA,57,88,NA,74,88
10039,102,very high,196,286,NA,2,59,88,NA,NA,NA,6,45,79,97,71,70
10040,91,high,167,278,NA,2,83,77,NA,92,NA,26,59,84,98,79,83
10044,50,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,90,NA,85,89
10045,70,low,106,NA,NA,2,NA,78,NA,NA,NA,NA,54,86,NA,77,68
10046,57,medium,120,132,NA,2,NA,90,NA,NA,NA,NA,81,93,NA,90,93
10049,54,medium,134,NA,NA,2,97,100,NA,NA,NA,0,93,100,NA,93,100
10051,48,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10052,86,low,121,NA,NA,0,NA,89,NA,NA,NA,NA,64,84,NA,84,89
10055,96,high,174,NA,NA,2,100,100,NA,NA,NA,0,64,83,85,87,91
10056,120,NA,147,NA,NA,NA,83,NA,NA,NA,NA,0,57,80,49,85,91
10058,53,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,60,NA
10059,42,low,75,NA,NA,1,NA,NA,NA,NA,NA,NA,83,91,NA,92,NA
10061,121,low,178,322,NA,1,NA,99,NA,NA,76,0,41,91,NA,55,94
10062,65,low,110,162,NA,3,NA,34,NA,NA,NA,NA,43,NA,NA,71,57
10065,52,medium,111,145,NA,0,74,100,NA,100,NA,0,80,93,100,90,94
10069,49,low,204,NA,87,2,24,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
10073,70,low,108,NA,NA,2,NA,NA,NA,NA,NA,NA,42,79,NA,67,85
10078,76,high,194,242,NA,2,92,90,NA,NA,NA,8,59,89,81,77,88
10079,74,NA,138,237,NA,NA,77,NA,NA,NA,NA,1,75,94,91,81,99
10083,76,medium,169,234,NA,2,68,100,NA,NA,NA,0,78,92,65,90,96
10085,164,NA,151,373,NA,NA,71,NA,NA,NA,39,0,36,65,NA,69,78
10086,55,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10087,314,medium,249,1192,NA,6,NA,100,NA,NA,NA,NA,49,87,NA,66,87
10089,54,NA,122,NA,NA,NA,100,NA,NA,NA,49,0,78,94,94,87,97
10090,94,NA,171,NA,NA,NA,71,NA,NA,NA,NA,0,84,96,97,91,96
10091,125,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
10092,131,NA,152,NA,NA,NA,46,NA,NA,NA,NA,0,58,89,88,73,80
10095,32,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10097,45,low,102,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10099,61,low,104,270,NA,2,NA,100,NA,NA,NA,6,52,69,NA,91,96
10100,116,high,160,NA,NA,1,NA,57,NA,NA,NA,2,86,94,100,91,100
10101,61,medium,112,154,NA,0,NA,100,NA,NA,NA,NA,58,79,78,79,97
10102,32,low,89,110,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10103,130,NA,144,187,NA,NA,90,NA,NA,NA,NA,0,59,84,72,78,92
10104,115,high,189,206,NA,2,95,100,NA,NA,NA,0,68,95,83,79,92
10108,109,NA,140,289,NA,NA,85,100,NA,NA,NA,NA,46,74,14,86,86
10109,86,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10110,40,NA,97,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,43,NA,111,128,NA,NA,40,NA,NA,NA,NA,NA,25,NA,NA,42,NA
10113,124,high,205,339,NA,3,NA,94,NA,92,NA,0,79,95,93,86,97
10114,76,NA,121,NA,NA,NA,44,NA,NA,NA,79,8,55,82,73,76,92
10118,74,NA,124,NA,NA,NA,NA,100,NA,NA,NA,0,75,89,100,84,100
10120,40,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,0,82,97,NA,90,93
10125,41,low,61,NA,NA,1,NA,NA,NA,NA,NA,NA,56,77,NA,81,100
10126,68,NA,106,NA,NA,NA,83,NA,NA,NA,NA,NA,71,94,44,98,94
10128,50,NA,118,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10129,110,low,165,NA,NA,1,NA,28,NA,NA,52,0,87,95,83,97,98
10130,54,low,108,NA,NA,3,NA,83,NA,NA,NA,NA,89,100,NA,89,100
101300,72,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101301,81,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,100,NA,88,93
101303,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101307,100,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101309,NA,NA,126,NA,NA,NA,33,NA,NA,NA,NA,NA,71,NA,NA,71,NA
10131,128,high,180,162,NA,1,NA,100,NA,NA,NA,0,73,93,92,84,94
101310,108,NA,106,295,NA,NA,NA,NA,NA,NA,NA,NA,72,94,NA,85,92
101311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101312,62,low,100,186,NA,1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101313,51,low,127,209,73,0,86,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
10138,93,low,130,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10139,113,high,130,194,NA,1,NA,89,NA,100,NA,0,76,88,83,94,95
10144,300,high,132,140,NA,3,37,95,NA,NA,NA,0,62,92,94,72,96
10148,68,low,118,NA,NA,2,77,NA,NA,NA,NA,NA,34,71,NA,66,67
10149,124,NA,150,NA,NA,NA,83,100,NA,NA,NA,1,52,80,27,79,87
10150,33,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,88,NA,90,93
10157,144,low,108,209,NA,2,NA,90,NA,NA,NA,NA,53,NA,NA,67,NA
10158,63,low,106,NA,NA,1,NA,100,NA,NA,NA,NA,74,83,NA,88,100
10164,57,medium,136,NA,NA,1,75,99,NA,NA,NA,0,54,91,57,76,92
10168,84,low,114,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10169,38,low,103,NA,NA,2,NA,69,NA,NA,NA,NA,65,83,NA,88,90
10173,61,NA,135,NA,NA,NA,29,NA,NA,NA,NA,NA,34,100,NA,39,NA
10174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001,66,NA,215,326,NA,NA,78,88,NA,NA,NA,6,74,91,78,87,96
110002,93,medium,152,228,NA,2,NA,94,NA,NA,91,6,52,78,29,84,92
110003,90,high,134,253,NA,1,100,100,NA,NA,NA,0,72,92,NA,78,100
110005,105,NA,156,290,NA,NA,100,NA,NA,NA,NA,0,66,87,84,83,93
110006,128,high,136,209,NA,2,54,84,NA,NA,NA,0,53,81,59,76,93
110007,204,high,219,259,NA,12,58,63,NA,100,NA,0,32,75,50,66,59
110008,140,NA,176,184,NA,NA,83,NA,NA,NA,NA,0,64,84,85,83,93
110010,158,high,276,290,NA,0,NA,46,NA,NA,NA,NA,30,72,NA,52,80
110011,144,NA,167,299,NA,NA,100,NA,NA,NA,NA,1,56,82,71,82,84
110015,147,NA,135,343,NA,NA,NA,NA,NA,NA,NA,2,56,83,70,80,85
110016,103,NA,124,909,NA,NA,82,NA,NA,NA,NA,2,63,89,47,83,93
110018,72,high,183,NA,NA,2,85,NA,NA,NA,46,0,45,79,31,86,70
110023,66,medium,152,311,NA,1,86,95,NA,100,NA,7,67,91,48,81,99
110024,333,very high,160,NA,NA,2,NA,92,NA,100,56,0,36,86,2,66,82
110025,165,high,159,176,NA,3,100,98,NA,23,NA,17,31,81,NA,53,52
110027,72,medium,143,244,NA,2,NA,73,NA,NA,NA,0,60,88,62,92,80
110028,166,very high,202,NA,NA,4,59,69,NA,NA,NA,1,65,91,59,87,89
110029,132,very high,162,798,NA,1,84,99,NA,83,NA,0,46,68,73,80,85
110030,127,high,141,581,NA,1,96,98,NA,100,NA,0,74,88,58,94,90
110031,152,NA,185,352,NA,NA,97,NA,NA,NA,NA,2,65,88,77,82,92
110032,88,low,140,234,NA,1,NA,NA,NA,NA,NA,0,47,82,NA,86,52
110034,135,NA,186,867,NA,NA,90,100,NA,95,NA,0,52,85,69,72,88
110035,178,NA,213,726,NA,NA,65,NA,NA,NA,NA,2,84,94,85,94,97
110036,306,very high,140,296,NA,0,91,98,NA,95,NA,0,59,91,82,70,95
110038,120,medium,165,NA,NA,2,86,91,NA,NA,NA,6,35,69,NA,55,91
110040,110,low,122,150,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110041,92,medium,123,248,NA,1,91,NA,100,NA,22,0,95,100,100,98,96
110042,142,NA,167,437,NA,NA,79,NA,NA,NA,NA,NA,71,88,75,86,96
